step,autopilot_on,pilot_pitch_cmd,pilot_roll_cmd,virus_pitch_cmd,virus_roll_cmd,wind_speed_mph,wind_bearing_deg,head_wind_component_mph,right_wind_component_mph,final_pitch_cmd,final_roll_cmd
1,False,1.7923290845877418,3.6316537396934976,-14.918839211458305,14.847763430681972,5.256240510823703,189.37033710139178,1.569233403120535,-5.01652976011854,1.7923290845877418,3.6316537396934976
2,False,1.7923290845877418,3.6316537396934976,-14.918840401892073,14.847751431969993,5.256240510823703,189.37033710139178,1.569233403120535,-5.01652976011854,1.7923290845877418,3.6316537396934976
3,False,1.7923290845877418,3.6316537396934976,-14.918842775838149,14.847727640271016,5.256240510823703,189.37033710139178,1.569233403120535,-5.01652976011854,1.7923290845877418,3.6316537396934976
4,False,1.7923290845877418,3.6316537396934976,-14.918846326040152,14.847692244610887,5.256240510823703,189.37033710139178,1.569233403120535,-5.01652976011854,1.7923290845877418,3.6316537396934976
5,False,1.7923290845877418,3.6316537396934976,-14.91885104491589,14.847645418177304,5.256240510823703,189.37033710139178,1.569233403120535,-5.01652976011854,1.7923290845877418,3.6316537396934976
6,False,1.7923290845877418,3.6316537396934976,-14.918856924565677,14.847587319115627,5.256240510823703,189.37033710139178,1.569233403120535,-5.01652976011854,1.7923290845877418,3.6316537396934976
7,False,1.7923290845877418,3.6316537396934976,-14.918863956781186,14.847518091249809,5.256240510823703,189.37033710139178,1.569233403120535,-5.01652976011854,1.7923290845877418,3.6316537396934976
8,False,1.7923290845877418,3.6316537396934976,-14.918872133053597,14.847437864738842,5.256240510823703,189.37033710139178,1.569233403120535,-5.01652976011854,1.7923290845877418,3.6316537396934976
9,False,1.7923290845877418,3.6316537396934976,-14.918881444584754,14.847346756664006,5.256240510823703,189.37033710139178,1.569233403120535,-5.01652976011854,1.7923290845877418,3.6316537396934976
10,False,1.7923290845877418,3.6316537396934976,-14.918891882293847,14.847244871573912,5.276240510823703,189.67033710139185,1.6015490570971256,-5.027300920550557,1.7923290845877418,3.6316537396934976
